algorithm,number of nodes,k,weight,run time
CNN,50,10,1834.9205605931745,0.016447499976493418
CR,50,10,1654.750471644007,0.011991700041107833
CNN,50,10,1716.0524240151915,0.016897700028494
CR,50,10,1757.074956648908,0.011944100027903914
CNN,50,10,1866.9254152953483,0.016827099956572056
CR,50,10,1763.3848845017021,0.012739400030113757
CNN,50,10,1767.5058285985226,0.016584600089117885
CR,50,10,1877.5788922029622,0.00703470001462847
CNN,50,10,1933.6604482141754,0.011866599903441966
CR,50,10,1857.652181507473,0.006924599991180003
CNN,50,10,1860.1055776294043,0.012082300032489002
CR,50,10,1972.617107589323,0.006915200036019087
CNN,50,10,2002.216785691701,0.011753699975088239
CR,50,10,1991.093726184048,0.006941500003449619
CNN,50,10,2007.6673185507752,0.011843500076793134
CR,50,10,1943.5041597848015,0.006886499933898449
